Order Date,Sales
2011-01-31,98898.48886
2011-02-28,91152.15698
2011-03-31,145729.36736
2011-04-30,116915.76418
2011-05-31,146747.8361
2011-06-30,215207.38022
2011-07-31,115510.41912
2011-08-31,207581.49122
2011-09-30,290214.45534
2011-10-31,199071.26404
2011-11-30,298496.53752
2011-12-31,333925.7346
2012-01-31,135780.72024
2012-02-29,100510.21698
2012-03-31,163076.77116
2012-04-30,161052.26952
2012-05-31,208364.89124
2012-06-30,256175.69842
2012-07-31,145236.78512
2012-08-31,303142.94238
2012-09-30,289389.16564
2012-10-31,252939.8502
2012-11-30,323512.4169
2012-12-31,338256.9666
2013-01-31,199185.90738
2013-02-28,167239.6504
2013-03-31,198594.03012
2013-04-30,177821.31684
2013-05-31,260498.56470000002
2013-06-30,396519.6119
2013-07-31,229928.952
2013-08-31,326488.78936
2013-09-30,376619.24568
2013-10-31,293406.64288
2013-11-30,373989.3601
2013-12-31,405454.37802
2014-01-31,241268.55566
2014-02-28,184837.35556
2014-03-31,263100.77262
2014-04-30,242771.8613
2014-05-31,288401.04614
2014-06-30,401814.0631
2014-07-31,258705.68048
2014-08-31,456619.94236
2014-09-30,481157.2437
2014-10-31,422766.62916
2014-11-30,555279.027
2014-12-31,503143.69348
